Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
0.0,-49.81103,69.172714,-702.0,0.0,0.0
4434.9097,-49.703213,69.162735,-675.0,0.0,0.0
9587.208,-49.589172,69.141014,-742.0,216.0,958.0
12671.6045,-49.53663,69.12078,-721.0,273.0,995.0
16672.0,-49.45796,69.09863,-870.0,385.0,1256.0
18215.508,-49.421867,69.093704,-1044.0,392.0,1436.0
21502.928,-49.353477,69.11006,-1435.0,500.0,1935.0
23632.027,-49.300293,69.111496,-1292.0,531.0,1824.0
25326.994,-49.258385,69.11393,-1306.0,589.0,1896.0
27974.09,-49.197628,69.12343,-1338.0,648.0,1987.0
30987.773,-49.12211,69.12408,-1304.0,693.0,1998.0
34029.94,-49.047626,69.12992,-1107.0,764.0,1871.0
41165.02,-48.91965,69.174545,-1257.0,884.0,2141.0
58078.566,-48.50353,69.20586,-1252.0,1167.0,2420.0
71303.66,-48.170734,69.208145,-1137.0,1342.0,2480.0
78809.82,-47.98318,69.21633,-755.0,1413.0,2169.0
83118.984,-47.87924,69.227425,-817.0,1471.0,2289.0
96760.56,-47.558918,69.18353,-176.0,1571.0,1748.0
109893.836,-47.258022,69.13548,-149.0,1679.0,1828.0
125849.54,-46.85907,69.12483,-730.0,1806.0,2537.0
148785.81,-46.296738,69.08309,-429.0,1898.0,2327.0
175222.53,-45.635746,69.09232,-304.0,2022.0,2327.0
202833.64,-45.00364,68.99384,-308.0,2148.0,2456.0
230162.2,-44.331924,68.9557,-424.0,2276.0,2701.0
273819.22,-43.2602,69.02112,-238.0,2441.0,2679.0
315292.1,-42.23999,69.08559,-316.0,2593.0,2909.0
364295.2,-41.03215,69.16547,-217.0,2733.0,2950.0
435020.0,-39.264442,69.238655,-17.0,2909.0,2926.0
485725.3,-38.01068,69.331894,275.0,2992.0,2716.0
539619.75,-36.65943,69.405624,385.0,2888.0,2502.0
601736.06,-35.08293,69.444275,1085.0,2631.0,1546.0
663476.44,-33.97442,69.05645,708.0,1923.0,1215.0
695608.7,-33.38162,68.86394,331.0,1178.0,847.0
710597.3,-33.12624,68.767044,-740.0,746.0,1486.0
719925.6,-33.06197,68.68709,-832.0,471.0,1303.0
732033.9,-32.926968,68.590866,-657.0,0.0,0.0
739941.2,-32.766895,68.55145,-722.0,0.0,0.0
747875.7,-32.57963,68.53378,-848.0,0.0,0.0
753266.7,-32.48184,68.50171,-588.0,0.0,0.0
763793.8,-32.43551,68.40935,-738.0,0.0,0.0
772203.25,-32.250694,68.377945,-810.0,0.0,0.0
